reg_number;law;method;status;subject;customer;customer_code;price_rub;published;updated;deadline;url
0369100040226000708;44-ФЗ;Электронный аукцион;Подача заявок;Закупка № 469(1)-2026 на поставку мебели для ФГБОУ ВО ЮУГМУ Минздрава России;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""ЮЖНО-УРАЛЬСКИЙ ГОСУДАРСТВЕННЫЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ";03691000402;94001.61;22.09.2026;22.09.2026;30.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0369100040226000708
0328100009926000034;44-ФЗ;Электронный аукцион;Подача заявок;Оказание услуг по проведению предрейсовых/предсменных и послерейсовых/послесменных медицинских осмотров;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ГЛАВНОЕ БЮРО МЕДИКО-СОЦИАЛЬНОЙ ЭКСПЕРТИЗЫ ПО ВЛАДИМИРСКОЙ ОБЛАСТИ"" МИНИСТЕРСТВА ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";03281000099;76260.0;22.09.2026;22.09.2026;01.10.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0328100009926000034
0319300087426000093;44-ФЗ;Электронный аукцион;Работа комиссии;Поставка продуктов питания (Бакалея УИС) (Общая);"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""УЖУРСКАЯ РАЙОННАЯ БОЛЬНИЦА""";03193000874;599208.54;14.09.2026;22.09.2026;23.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0319300087426000093
0371500001026000679;44-ФЗ;Электронный аукцион;Подача заявок;Выполнение работ по установке дверей в стационаре №1 на 3 этаже (помещение реанимации) по адресу: Ярославская область, г. Рыбинск, ул. Солнечная, д.57;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ЯРОСЛАВСКОЙ ОБЛАСТИ ""РЫБИНСКАЯ БОЛЬНИЦА № 1""";03715000010;176345.46;22.09.2026;22.09.2026;30.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0371500001026000679
0312200009526000025;44-ФЗ;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;Определение поставщика завершено;;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ ТЫВА ""РЕСПУБЛИКАНСКИЙ НАРКОЛОГИЧЕСКИЙ ДИСПАНСЕР""";03122000095;64217.0;22.09.2026;22.09.2026;;/epz/order/notice/ezt20/view/common-info.html?regNumber=0312200009526000025
0372200128326000035;44-ФЗ;Электронный аукцион;Подача заявок;Выполнение работ по техническому обслуживанию узла учета тепловой энергии;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 619 КАЛИНИНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;03722001283;82800.0;22.09.2026;22.09.2026;30.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0372200128326000035
0333300035626000330;44-ФЗ;Запрос котировок в электронной форме;Определение поставщика завершено;Поставка лекарственного препарата для медицинского применения (МНН: АТОРВАСТАТИН, ДЕКСАМЕТАЗОН, ИНДАПАМИД, КО-ТРИМОКСАЗОЛ, ЛЕВОФЛОКСАЦИН, ПЕНТОКСИФИЛЛИН, ПИРИДОКСИН, ПРЕДНИЗОЛОН, УРСОДЕЗОКСИХОЛЕВАЯ КИСЛОТА);"ОБЛАСТНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА №3 Г.ИВАНОВА""";03333000356;526414.0;14.09.2026;22.09.2026;22.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0333300035626000330
0360300199926000244;44-ФЗ;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;Определение поставщика завершено;;"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САРАТОВСКАЯ ГОРОДСКАЯ ДЕТСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""";03603001999;12108.0;22.09.2026;22.09.2026;;/epz/order/notice/ezt20/view/common-info.html?regNumber=0360300199926000244
0345300104226000013;44-ФЗ;Закупка, осуществляемая в соответствии с частью 12 статьи 93 Закона № 44-ФЗ;Определение поставщика завершено;;"МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА ""СВЕРДЛОВСКИЙ ЦЕНТР ОБРАЗОВАНИЯ""";03453001042;575409.9;22.09.2026;22.09.2026;;/epz/order/notice/ezt20/view/common-info.html?regNumber=0345300104226000013
0145300022026000011;44-ФЗ;Открытый конкурс в электронной форме;Определение поставщика завершено;Дооборудование спортивной площадки в районе Ленинградского пр. 164 и ул. Набережная р. Мойка в гп. Павлово Кировского района Ленинградской области;АДМИНИСТРАЦИЯ ПАВЛОВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ КИРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ;01453000220;4269187.5;04.09.2026;22.09.2026;21.09.2026;/epz/order/notice/ok20/view/common-info.html?regNumber=0145300022026000011
